major name ,Minimum Admission Rank,major presentation
建筑学,26361,"本专业培养在建筑设计、城市设计、室内外环境设计、工业景观设计领域，系统掌握相关自然、人文科学理论知识，具有实践能力的复合型工程技术人才。
毕业生能在民用与工业建筑设计、城市规划、环境艺术、工业景观设计领域从事设计、研究、管理等工作。"
环保设备工程,26361,
石油工程,27050,"石油工程专业培养具备扎实专业基础和计算机、外语应用能力的高级专业人才。学生将掌握石油工程基本技能，包括工程设计、生产施工、科研开发和管理。
主要就业于国家石油公司及科研机构，从事生产、管理和科研工作。学制四年，主要课程包括数学、物理、化学、工程力学、地质学、钻井与采油工程等。专业依托国家重点学科，是国家级特色专业，具有硕士和博士学位授予权。"
管理科学与工程类,27050,
勘查技术与工程,27050,
化学工程与工艺,27755,"
本专业依托化学工程与技术一级博士点授权学科(第四轮学科评估A-)、
本专业具有良好的社会声誉和认知度，自1953年建校以来为国家培养一万多名建设人才，毕业生中有许多成为国家科学研究、工程应用领域骨干（7名两院院士）及国家与企事业单位的领导人（吴仪、李毅中等）。
本专业面向国家石化和化学工业发展需求，以石油化工为特色，适应炼化一体化、智能化和可持续发展的需求，具有创新精神和国际视野，能够在以石油化工为代表的化工、能源、材料、环保和军工等部门，从事工程设计、技术开发、生产运行与项目管理、科学研究等工作。"
环境工程,27755,"环境工程专业是多学科交叉的应用型工科专业，主要运用基础科学、工程学和其他有关学科的理论和方法，研究合理保护和利用自然资源，控制和防治环境污染
环境工程专业是山东省一流专业和山东省特色专业。本专业主要就业于政府部门、规划部门、环保部门、设计单位、工矿企业、科研单位、环保专业公司等，成为工程师、技术骨干及管理者。
"
地质学,27755,"国家级特色专业、首批入选国家级一流本科专业。
地质学专业要求学生喜爱地质，但本专业更看重的是你的家国情怀和奉献精神。 
地质学专业学生适应能力强、就业面宽。毕业后能够在地质矿产、资源能源、工程勘查、灾害防治等领域，特别是大型国有油气公司等上游相关的企业、科研院所、教学机构所等，从事生产应用、科学研究，以及教学和管理等方面的工作。"
土木工程,28500," 本专业培养工程材料、结构分析与设计、地基处理、工程测量与实验、施工技术等方面的高级工程技术人才。毕业生可从事房屋建筑、地下建筑、道路、桥梁、铁路、机场、港口的规划、勘测、设计、施工管理、监理、造价和房地产开发以及工程技术研究等工作。
    学制四年。本专业具有硕士学位授予权。"
化工安全工程,28500,以教育部“新工科”思想为指导，化学工程与工艺为基础，贯穿过程安全理念，融合过程装备与控制、自动化仪表、工程管理等为支撑的多学科交叉专业体系，协同政府、行业协会、企业以及国内外专家共同实施人才培养，面向化工相关行业。 毕业后能够在石油、煤炭及其他燃料加工业、化学原料和化学制品制造业、医药制造业、化学纤维制造业工作，尤其是在化工相关部门从事过程安全设计、过程安全技术开发、安全生产运行、过程安全科学研究、过程安全管理等工作。
材料类,29216,"首批入选山东省一流本科专业
本专业培养适应我国社会主义现代化建设需要，德智体美全面发展，掌握材料科学、化学科学等方面的知识，具有较强的创新精神、一定的国际化视野和组织管理能力，毕业后从事高分子材料、新能源材料等领域的科学研究、新材料设计与开发、材料应用技术及管理等方面工作的高素质创新型高级专门人才。"
市场营销,29958,"服务于国家大数据战略，以“大数据精准营销”为专业特色，致力于培养创新能力、学习能力、情商、逆商、文化素养突出的，擅长发现、分析并解决营销实际问题的高素质应用型专业人才。
2001年开始招收本科。2006年获批工商管理一级硕士授权点，2009年获得MBA招生资格。第四轮学科评估中，工商管理学科获C+。"
资源勘查工程,29958,资源勘查工程专业是国家级特色专业，首批入选国家级一流本科专业。核心课程包括矿物学、地球物理勘探等，培养学生透视地球，探索油气等资源的能力。毕业生可在能源、矿产、环保等领域从事技术开发、科研和管理工作，也有继续深造的机会。
俄语,31426,"培养具有扎实的俄语语言基础知识，较强的俄语语言交际能力，一定的石油、石化相关知识，以及较高程度俄语水平的复合型人才。
毕业生既可在石油石化企业、合资企业、外经贸及其它领域从事俄语、英语的翻译和管理工作，又可在科研单位从事与俄语专业相关的科研工作。"
